date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,mean_incidences_per_permu,median_incidences_per_permu,mean_num_of_entries_per_permu
2020-12-15,3,2,2,4,1,1,1,3,2,1,2,2,0,2,195.82470754314528,179.4620148574312,0.9951456310679612
2020-12-16,3,3,2,4,1,2,1,3,2,1,2,2,0,2,204.18957576197627,183.86469221560733,10.58252427184466
2020-12-27,3,3,2,4,1,2,1,3,2,1,2,2,2,2,159.05650208171429,140.46224524986812,8.640776699029127
2021-01-05,3,3,2,4,1,2,-2,3,2,1,1,2,2,2,161.45524072486336,139.20635901237617,4.961165048543689
2021-01-10,3,3,2,4,1,-2,-2,3,2,1,1,2,2,2,106.72092945117716,93.15557713402147,42.029126213592235
2021-02-22,-3,3,2,4,1,-2,-2,3,2,1,1,2,2,2,66.34532403431386,57.271032021435005,1.983009708737864
2021-02-24,-3,3,2,4,1,-2,-2,3,2,1,1,2,3,2,69.89799571320097,59.14743975632946,4.837378640776699
2021-03-01,-3,2,2,4,1,-2,-2,3,2,1,1,2,3,2,82.66490482541614,70.99808977969653,18.684466019417474
2021-03-20,-3,2,2,4,1,-2,1,3,2,3,1,2,3,2,136.11947747122053,128.69590746023408,62.11893203883495
2021-05-22,-3,2,2,4,1,-2,1,3,2,3,2,2,3,2,48.26886645496267,43.85037926380238,8.618932038834952
2021-05-31,1,2,2,4,1,-2,1,3,2,3,2,2,3,2,31.61347937883737,28.774397864492784,5.968446601941747
2021-06-06,1,2,2,4,1,1,1,3,2,3,2,2,3,2,24.516014914552592,22.69584465087644,0.8349514563106796
2021-06-07,1,2,2,4,1,1,1,3,2,3,2,2,5,2,10.103405111713544,9.822211554052961,52.80825242718446
2021-08-01,1,2,2,4,1,1,1,2,2,3,2,2,5,2,16.027574874461017,14.127020238898275,1.7621359223300972
2021-08-03,1,2,2,4,1,1,0,2,2,3,2,2,5,2,27.231340266054556,23.565480418957648,16.405339805825243
2021-08-20,1,2,2,3,1,1,0,2,2,3,2,2,5,2,48.88788715387137,43.31421694893095,2.75
2021-08-23,-3,2,2,3,1,1,0,2,2,3,2,2,5,2,60.716914800069596,56.92344903742371,4.997572815533981
2021-08-28,-3,-2,2,3,1,1,0,2,2,3,2,2,5,2,78.76906559034123,76.86738263387677,13.580097087378642
2021-09-11,1,-2,2,3,1,1,0,2,2,3,2,2,5,2,76.23825409122743,72.5082571073598,9.572815533980583
2021-09-21,1,-2,2,-3,1,1,0,2,2,3,2,2,5,2,64.66257841802903,60.388108695361524,9.742718446601941
2021-10-01,1,-2,-2,-3,1,1,0,2,2,3,2,2,5,2,67.69931349841575,60.1390476710257,8.587378640776699
2021-10-10,1,-2,-2,-3,0,1,0,2,2,3,2,2,5,2,98.30875383720138,78.99505198986404,17.138349514563107
2021-10-28,1,-2,2,-4,0,1,0,2,2,3,2,2,5,2,200.917770757268,165.43761444358762,12.54611650485437
2021-11-10,-2,-2,2,-4,0,1,0,2,2,3,2,2,5,2,330.2017884280261,266.8161441151541,4.83252427184466
2021-11-15,1,-2,2,4,0,2,-2,2,2,3,2,2,5,2,429.45981998524167,407.64795524301155,68.90776699029126
2022-01-24,1,1,1,4,0,2,0,2,2,3,2,2,5,3,1590.368623160594,1562.0774493535373,67.8616504854369
2022-04-03,1,1,0,0,0,1,1,2,2,3,2,2,5,3,1247.7441153963146,1210.2895616231028,14.594660194174757
2022-04-19,1,1,0,0,0,1,1,1,2,3,2,2,5,3,855.6344346826007,812.8866304378239,5.665048543689321
2022-04-25,0,1,0,0,0,1,1,1,2,3,2,2,5,3,812.051728014229,779.4832494355737,8.54611650485437
2022-05-04,0,1,0,0,0,1,0,1,2,3,2,2,5,3,505.3021330669526,488.0144138031062,16.735436893203882
2022-05-23,0,0,0,0,0,1,0,1,2,3,2,2,5,3,259.32396245897934,252.36449601040232,7.383495145631068
2022-05-31,0,0,0,0,0,1,0,1,2,3,2,2,5,2,279.8367094189976,263.3450488270763,9.769417475728156
2022-06-12,0,0,0,0,0,1,0,0,2,3,2,2,5,2,419.2899278636873,416.4445892999894,105.69417475728156
2022-10-10,0,0,0,0,0,1,1,1,2,3,2,2,5,3,678.730490550025,661.9606181606316,21.453883495145632
2022-11-22,0,0,0,0,0,1,0,0,2,3,2,2,5,3,221.57138176334425,195.37110610562223,34.54611650485437
