date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,district,fed_state,mean_incidence,num_of_entries
2022-05-04,0,1,0,0,0,1,0,1,2,3,2,2,5,3,LK Freudenstadt,Baden-Württemberg,431.8056556577776,16
2022-05-23,0,0,0,0,0,1,0,1,2,3,2,2,5,3,LK Freudenstadt,Baden-Württemberg,235.6019356909678,7
2022-05-31,0,0,0,0,0,1,0,1,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,278.5432653580362,8
2022-06-12,0,0,0,0,0,1,0,0,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,341.23033874591937,100
2022-10-10,0,0,0,0,0,1,1,1,2,3,2,2,5,3,LK Freudenstadt,Baden-Württemberg,721.8151755396849,22
2022-11-22,0,0,0,0,0,1,0,0,2,3,2,2,5,3,LK Freudenstadt,Baden-Württemberg,122.04645259758998,31
2020-03-18,3,0,-2,-1,0,1,1,4,2,1,1,0,0,1,LK Freudenstadt,Baden-Württemberg,,0
2020-03-09,-2,0,1,0,0,1,0,1,2,1,2,0,0,1,LK Freudenstadt,Baden-Württemberg,,0
2020-05-03,3,2,2,-4,0,-2,-2,4,2,3,1,2,0,3,LK Freudenstadt,Baden-Württemberg,,0
2020-02-26,-2,0,0,0,0,0,0,0,2,1,2,0,0,0,LK Freudenstadt,Baden-Württemberg,,0
2020-02-28,-2,0,0,0,0,0,0,1,2,1,2,0,0,1,LK Freudenstadt,Baden-Württemberg,,0
2020-02-04,0,0,0,0,0,0,0,0,1,1,2,0,0,0,LK Freudenstadt,Baden-Württemberg,,0
2020-02-20,0,0,0,0,0,0,0,0,2,1,2,0,0,0,LK Freudenstadt,Baden-Württemberg,,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,LK Freudenstadt,Baden-Württemberg,,0
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LK Freudenstadt,Baden-Württemberg,,0
2020-03-07,-2,0,1,0,0,0,0,1,2,1,2,0,0,1,LK Waldshut,Baden-Württemberg,,0
2020-03-12,-2,0,-2,-1,0,1,0,1,2,1,2,0,0,1,LK Waldshut,Baden-Württemberg,2.344404784930166,6
2020-03-16,-3,0,-2,-1,0,1,0,3,2,1,2,0,0,1,LK Waldshut,Baden-Württemberg,6.740163756674228,2
2020-03-19,3,0,-2,-1,0,1,-2,4,2,1,1,0,0,1,LK Waldshut,Baden-Württemberg,12.894226317115912,1
